CityID,Independent Nation States w.r.t UN,City / Capital City,PosX,PosY,Latitude (N+/S-),Longitude (E+/W-),Corrected,Changed fields
0,-,Hong Kong,11411,2240,22.39643,114.1095,No,
1,Afghanistan,Kabul,6921,3456,34.55535,69.20749,No,
2,Albania,Tirana,1982,4133,41.32755,19.8187,No,
3,Algeria,Algiers,306,3675,36.75377,3.05876,No,
4,Andorra,Andorra la Vella,152,4251,42.50632,1.52184,No,
5,Angola,Luanda,1323,-881,-8.81466,13.23018,No,
6,Antigua and Barbuda,Saint John's,-6185,1713,17.12526,-61.84723,No,
7,Argentina,Buenos Aires,-5838,-3460,-34.60368,-58.38156,No,
8,Armenia,Yerevan,4450,4018,40.17919,44.4991,No,
9,Australia,Canberra,14913,-3528,-35.28094,149.13001,No,
10,Austria,Vienna,1637,4821,48.20817,16.37382,No,
11,Azerbaijan,Baku,4987,4041,40.40926,49.86709,No,
12,Bahamas,Nassau,-7736,2505,25.04798,-77.35541,No,
13,Bahrain,Manama,5059,2623,26.22852,50.58605,No,
14,Bangladesh,Dhaka,9041,2381,23.81033,90.41252,No,
15,Barbados,Bridgetown,-5961,1310,13.09685,-59.61448,No,
16,Belarus,Minsk,2756,5390,53.90454,27.56152,No,
17,Belgium,Brussels,435,5085,50.85035,4.35172,No,
18,Belize,Belmopan,-8876,1725,17.25101,-88.75902,No,
19,Benin,Porto-Novo,263,650,6.49686,2.62885,No,
20,Bhutan,Thimphu,8964,2747,27.47279,89.63929,No,
21,Bolivia,Sucre,-6359,-1629,-16.29015,-63.58865,No,
22,Bosnia and Herzegovina,Sarajevo,1841,4386,43.85626,18.41308,No,
23,Botswana,Gaborone,2592,-2463,-24.62821,25.92315,No,
24,Brazil,Brasília,-4792,-1583,-15.82669,-47.92182,No,
25,Brunei Darussalam,Bandar Seri Begawan,11494,490,4.90305,114.93982,No,
26,Bulgaria,Sofia,2332,4270,42.69771,23.32187,No,
27,Burkina Faso,Ouagadougou,-152,1237,12.37143,-1.51966,No,
